"Census year","Suburb","Commercial","Community Use","Educational/Research","Entertainment","Equipment Installation","Hospital/Clinic","House/Townhouse"
2006,"Melbourne (Remainder)",14,13,11,9,11,15,14
2007,"Melbourne (Remainder)",14,13,11,9,11,15,14
2008,"Melbourne (Remainder)",14,13,10,10,12,15,13
2009,"Melbourne (Remainder)",14,13,10,10,12,15,13
2010,"Melbourne (Remainder)",14,13,11,12,12,14,13
2011,"Melbourne (Remainder)",14,13,11,12,12,14,13
2012,"Melbourne (Remainder)",14,13,11,12,12,14,13
2013,"Melbourne (Remainder)",14,12,10,12,11,15,15
2014,"Melbourne (Remainder)",14,12,10,12,11,15,15
2015,"Melbourne (Remainder)",14,12,10,13,11,15,11
2016,"Melbourne (Remainder)",14,12,10,13,11,15,11
2017,"Melbourne (Remainder)",14,12,10,15,11,15,13
2018,"Melbourne (Remainder)",14,12,10,15,11,15,13
2019,"Melbourne (Remainder)",14,14,10,14,12,14,14
2020,"Melbourne (Remainder)",14,14,10,14,11,14,14
2021,"Melbourne (Remainder)",14,13,10,13,12,15,14
2022,"Melbourne (Remainder)",14,13,10,13,12,15,14
2002,"North Melbourne",69,81,69,65,74,82,74
2003,"North Melbourne",67,80,71,64,71,82,74
2004,"North Melbourne",67,80,71,64,71,82,74
2005,"North Melbourne",69,79,71,63,64,82,76
2006,"North Melbourne",69,79,71,63,64,82,76
2007,"North Melbourne",81,90,79,69,78,94,81
2008,"North Melbourne",81,90,79,69,78,94,81
2009,"North Melbourne",82,89,78,69,76,94,86
2010,"North Melbourne",82,89,78,69,76,94,86
2011,"North Melbourne",82,89,78,69,76,94,86
2012,"North Melbourne",82,89,75,71,77,94,85
2013,"North Melbourne",82,89,75,71,77,94,85
2014,"North Melbourne",84,88,76,71,79,94,86
2015,"North Melbourne",84,88,76,71,79,94,86
2016,"North Melbourne",81,88,69,72,79,94,87
2017,"North Melbourne",81,88,69,72,79,94,87
2018,"North Melbourne",81,87,68,74,79,93,83
2019,"North Melbourne",81,87,68,74,79,93,83
2020,"North Melbourne",81,87,70,70,80,93,87
2021,"North Melbourne",81,87,70,70,80,93,87
2022,"North Melbourne",84,87,70,72,83,92,86
2002,"Parkville",27,34,24,30,26,34,34
2003,"Parkville",27,33,23,30,27,34,33
2004,"Parkville",27,33,23,30,27,34,33
2005,"Parkville",27,33,25,30,27,34,34
2006,"Parkville",27,33,25,30,27,34,34
2007,"Parkville",29,33,24,30,28,34,33
2008,"Parkville",29,33,24,30,28,34,33
2009,"Parkville",29,33,24,30,28,34,33
2010,"Parkville",29,33,24,29,30,33,32
2011,"Parkville",29,33,24,29,30,33,32
2012,"Parkville",29,32,24,30,28,33,33
2013,"Parkville",29,32,24,30,28,33,33
2014,"Parkville",29,31,24,27,28,33,29
2015,"Parkville",29,31,24,27,28,33,29
2016,"Parkville",29,31,24,25,30,33,29
2017,"Parkville",29,31,24,25,30,33,29
2018,"Parkville",28,31,24,25,29,34,28
2019,"Parkville",28,31,24,25,29,34,28
2020,"Parkville",27,32,24,27,28,34,32
2021,"Parkville",27,32,24,27,28,34,32
2022,"Parkville",29,32,25,28,29,34,32
2002,"Port Melbourne",20,20,17,17,20,20,16
2003,"Port Melbourne",20,20,17,17,20,20,16
2004,"Port Melbourne",20,20,17,16,20,20,18
2005,"Port Melbourne",20,20,17,16,20,20,18
2006,"Port Melbourne",20,20,17,15,20,20,20
2007,"Port Melbourne",20,20,17,15,20,20,20
2008,"Port Melbourne",20,20,17,15,20,20,19
2009,"Port Melbourne",20,20,17,15,20,20,19
2010,"Port Melbourne",20,20,15,15,20,20,18
2011,"Port Melbourne",20,20,15,15,20,20,18
2012,"Port Melbourne",20,20,15,15,20,20,18
2013,"Port Melbourne",20,20,16,15,20,20,19
2014,"Port Melbourne",20,20,16,15,20,20,19
2015,"Port Melbourne",20,20,17,14,20,20,17
2016,"Port Melbourne",20,20,17,14,20,20,17
2017,"Port Melbourne",19,19,16,12,19,19,19
2018,"Port Melbourne",19,19,16,12,19,19,19
2019,"Port Melbourne",20,20,15,12,20,20,18
2020,"Port Melbourne",20,20,15,12,20,20,18
2021,"Port Melbourne",20,20,15,15,19,20,20
2022,"Port Melbourne",20,20,15,15,19,20,20
2002,"South Yarra",13,16,9,14,16,17,15
2003,"South Yarra",13,16,9,14,16,17,15
2004,"South Yarra",13,16,9,14,14,17,16
2005,"South Yarra",13,16,9,14,14,17,16
2006,"South Yarra",12,17,9,14,15,17,16
2007,"South Yarra",12,17,9,14,15,17,16
2008,"South Yarra",12,17,9,14,15,17,17
2009,"South Yarra",12,17,9,14,15,17,17
2010,"South Yarra",12,17,9,14,15,17,17
2011,"South Yarra",13,17,8,14,15,17,17
2012,"South Yarra",13,17,8,14,15,17,17
2013,"South Yarra",14,17,9,14,15,17,14
2014,"South Yarra",14,17,9,14,15,17,14
2015,"South Yarra",15,17,8,14,17,17,16
2016,"South Yarra",15,17,8,14,17,17,16
2017,"South Yarra",15,17,9,14,17,17,14
2018,"South Yarra",15,17,9,14,17,17,14
2019,"South Yarra",16,17,9,15,17,17,15
2020,"South Yarra",16,17,9,15,17,17,15
2021,"South Yarra",16,17,9,15,17,17,16
2022,"South Yarra",16,17,9,15,17,17,16
2002,"Southbank",36,40,29,26,35,39,34
2003,"Southbank",36,40,29,26,35,39,34
2004,"Southbank",34,40,29,26,33,39,37
2005,"Southbank",34,40,29,26,33,39,37
2006,"Southbank",33,40,30,28,32,37,34
2007,"Southbank",33,40,30,28,32,37,34
2008,"Southbank",32,39,31,27,33,37,31
2009,"Southbank",32,39,31,27,33,37,31
2010,"Southbank",32,39,31,27,33,37,31
2011,"Southbank",30,39,28,27,35,38,36
2012,"Southbank",30,39,28,27,36,38,36
2013,"Southbank",29,37,29,26,36,39,35
2014,"Southbank",29,37,29,26,36,39,35
2015,"Southbank",28,37,30,22,33,38,35
2016,"Southbank",28,37,30,22,33,38,35
2017,"Southbank",27,37,26,25,35,38,33
2018,"Southbank",27,37,26,25,35,38,33
2019,"Southbank",27,38,25,29,35,36,33
2020,"Southbank",26,38,25,29,35,36,34
2021,"Southbank",26,37,26,27,34,36,36
2022,"Southbank",26,37,26,27,34,36,36
2002,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2003,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2004,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2005,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2006,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2007,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2008,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2009,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2010,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2011,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2012,"West Melbourne (Industrial)",13,13,12,11,13,12,13
2013,"West Melbourne (Industrial)",13,13,12,11,13,12,13
2014,"West Melbourne (Industrial)",12,13,13,11,13,12,12
2015,"West Melbourne (Industrial)",12,13,13,11,13,12,12
2016,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2017,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2018,"West Melbourne (Industrial)",13,13,13,11,13,12,12
2019,"West Melbourne (Industrial)",13,13,13,11,13,12,12
2020,"West Melbourne (Industrial)",12,12,12,10,12,11,10
2021,"West Melbourne (Industrial)",12,12,12,10,12,11,10
2022,"West Melbourne (Industrial)",12,12,12,11,12,11,10
2002,"West Melbourne (Residential)",41,44,46,34,46,47,45
2003,"West Melbourne (Residential)",41,44,46,34,44,48,45
2004,"West Melbourne (Residential)",41,44,46,34,44,48,45
2005,"West Melbourne (Residential)",42,45,45,35,45,45,45
2006,"West Melbourne (Residential)",42,45,45,35,45,45,45
2007,"West Melbourne (Residential)",40,45,43,35,45,48,46
2008,"West Melbourne (Residential)",40,45,43,35,45,48,46
2009,"West Melbourne (Residential)",41,45,41,34,46,48,45
2010,"West Melbourne (Residential)",41,45,41,34,46,48,45
2011,"West Melbourne (Residential)",41,45,41,34,46,48,45
2012,"West Melbourne (Residential)",41,45,38,35,47,48,41
2013,"West Melbourne (Residential)",41,45,38,35,47,48,41
2014,"West Melbourne (Residential)",41,45,40,34,44,48,46
2015,"West Melbourne (Residential)",41,45,40,34,44,48,46
2016,"West Melbourne (Residential)",42,45,42,36,45,48,42
2017,"West Melbourne (Residential)",42,45,42,36,45,48,42
2018,"West Melbourne (Residential)",42,45,41,35,44,48,43
2019,"West Melbourne (Residential)",42,45,41,35,44,48,43
2020,"West Melbourne (Residential)",42,45,39,35,44,48,45
2021,"West Melbourne (Residential)",42,45,39,35,44,48,45
2022,"West Melbourne (Residential)",42,45,37,36,43,48,43
